Hooghly,,
Name,Area,Contact
Mandakini Watch House,Near Serampore Municipality,8013861643
Mandakini Watch House,Chinsurah Water Tank,9883507010
M S Hussain,Chinsurah Gharir More,9433920274
Calcutta Watch  ,Sheoraphully Udayan Cinema Hall,8013945156
Time Centre,Singur Bazar,8240912062
Prince watch,Serampore N S avenue,9830807281
STAR ELECTRONICS,ARAMBAG,9932252203
SANJAY WATCH,TARAKESHWAR,
GLORY ELECTRONICS,CHINSURAH,7044532364
NU TIME,KONNAGAR,
CLASSIC,KONNAGAR,
TIME CO.,UTTARPARA,9830921175
DASS & CO.,TRIBENI,
Tarama Watch Centre,Hooghly,
SURUCHI SADAN,CHANDANAGAR,