SL. No.,KAM/EMM,ABM Name,SAP Code,Retailer Name,Location,Google Map Link,Contact Number,,,,
1,KAM,Abhinay,1134754,STANDARD TIME,Amritsar,https://maps.app.goo.gl/x71UMwHgU7VDn5W59,8847335548,,,,
2,KAM,Abhinay,1134743,ASHOKA TIMES,Bathinda,https://maps.app.goo.gl/SLw1J8UJC5vSoMYk9,9888739122,,,,
3,KAM,Abhinay,1134738,PRAKASH WATCH CO,Gurugram,https://maps.app.goo.gl/DXviEwxX2g65QnY16,9810955064,,,,
4,KAM,Abhinay,1134762,VANDANA TIME CENTRE,Hisar,https://maps.app.goo.gl/shdhc2XYhd7aQvZn6,9215635411,,,,
5,KAM,Abhinay,9032721,THE TIME AND VISION,Bathinda,https://maps.app.goo.gl/9B78pqQBy6PTeFW56,9216246002,,,,
6,KAM,Abhinay,9008661,OBEROI TIME,Ludhiana,https://maps.app.goo.gl/XvxXub5f1ZeSyXR86,8360656648,,,,
7,KAM,Abhinay,9008651,P.K WATCH CO.,Ludhiana,https://maps.app.goo.gl/iaEM6TMGCe6dVMFVA,9872530030,,,,ś
8,KAM,Abhinay,9009297,NATIONAL WATCH HOUSE-17,Chandigarh,https://maps.app.goo.gl/sguf8xxi8nsjDNwP6,9815134684,,,,
9,KAM,Abhinay,9015863,A J TIMES,Amritsar,https://maps.app.goo.gl/N93ELrMCHoG5vJPy6,9780639068,,,,
10,KAM,Abhinay,9025023,RUDRA AGENCIES,Mohali,https://maps.app.goo.gl/naKWDAxN78G9RyEg8,9041265856,,,,
11,KAM,Amit,1134483,Gupta Watch co,BAREILLY,https://maps.app.goo.gl/22eHCtGVvtG9Ppsi8,9319485000,,,,
12,KAM,Amit,9009077,KRISHNA WATCH HOUSE,MEERUT,https://maps.app.goo.gl/ca5DzjvDgsr79bEo7,9897544049,,,,
13,KAM,Amit,9009080,R.R ENTERPRISES,MEERUT,https://maps.app.goo.gl/RRfAZ2eRQGAsdfdw7,9837007919,,,,
14,KAM,Amit,9009093,THE TITAN GALLERY,MUZAFFARNAGAR,https://maps.app.goo.gl/t27XATXUxKnQLiti7,9897547415,,,,
15,KAM,Amit,9013820,EMPIRE WATCH CO,NOIDA,https://maps.app.goo.gl/KtpCCVjxGm5uL9S37,8586827379,,,,
16,KAM,Amit,9013860,SAI CREATIONS,NOIDA,https://maps.app.goo.gl/gJ9M7jzwGtGhPXRe9,8920916104,,,,
17,KAM,Amit,1139260,GUPTA WATCH COMPANY -DD PURAM,BAREILLY,https://maps.app.goo.gl/VqT5ks325z6M4wUz6,9359118000,,,,
18,KAM,Amit,9038936,SETHI WATCH COMPANY,NOIDA,https://maps.app.goo.gl/oweZ7YAHVJSBytfB6,9220466224,,,,
19,EMM,Dinesh,9024868,DOLLAR WATCH COMPANY,AMRITSAR,https://maps.app.goo.gl/6Qe1Tvwgp6wDxgMm9,9953555582,,,,
20,KAM,Mudit,9008956,DISHA TIME POINT,DELHI,https://maps.app.goo.gl/KsVJEvnKnU1SoMwr6,9810520000,,,,
21,KAM,Mudit,9008994,NEW PRAKASH WATCH CO,DELHI,https://maps.app.goo.gl/ynjghAnp5R1jYWFt6,9810955064,,,,
22,KAM,Mudit,9012465,PRAKASH WATCH CO.,DELHI,https://maps.app.goo.gl/mQN9xviYMz1CNvkR6,9899645897,,,,
23,KAM,Mudit,9010517,MOHIT TRADING COMPANY,DELHI,https://maps.app.goo.gl/Xk5Bgi6i2ExLQC5w8,9999461060,,,,
24,KAM,Mudit,9010530,SUNDER WATCH CO.,DELHI,https://maps.app.goo.gl/7uBLdRFzTmkNNZCK8,8800989737,,,,
25,KAM,Mudit,9010455,RAJEEV WATCH CO,DELHI,https://maps.app.goo.gl/cwxudwq4PpFC4UzFA,9810022472,,,,
26,KAM,Mudit,9010462,SETHI WATCH CO,DELHI,https://maps.app.goo.gl/WShxKGGV6kHeS6CG8,7217629402,,,,
27,KAM,Mudit,9010050,SAMAY,DELHI,https://maps.app.goo.gl/7d6Tu7NMLMqc6j9E7,9818872918,,,,
28,KAM,Mudit,9015806,Music Mahal (Regd),DELHI,https://maps.app.goo.gl/teVpadjpPSqoZTLQA,9811010483,,,,
29,KAM,Mudit,1100037,RADHA FANCY STORE,DELHI,https://maps.app.goo.gl/5tn8T7qVDeMnFT6r6,9811216288,,,,
30,KAM,Mudit,1118930,Forward Watch & Optical Co.,DELHI,https://maps.app.goo.gl/KJ1AhrJLyhF5MuEf8,9891842345,,,,
31,KAM,Mukesh,1100365,RUPANI BROS,Lucknow ,https://maps.app.goo.gl/iggTQKjZDkv6HuQB9,9335923543,,,,
32,KAM,Mukesh,1134314,WORLD OF WATCHES,Lucknow ,https://maps.app.goo.gl/2MYuyhsfGwVZFomt7,9335191000,,,,
33,KAM,Mukesh,1134391,K.M. VISHWANATH,ALlahabad,https://maps.app.goo.gl/vRkqCNAt7uoLEtce6,9935687171,,,,
34,KAM,Mukesh,1141292,KASHI VISHWANATH,ALlahabad,https://maps.app.goo.gl/RyfyYQdKHp34zQcx8,9839737450,,,,
35,KAM,Mukesh,1134389,GOGIA WATCH CO. ,ALlahabad,https://maps.app.goo.gl/xRa3UKDhn1Ly4pA16,9450656534,,,,
36,KAM,Mukesh,1135814,RAM PRASAD AGENCIES-JALKAL,Gorakhpur,https://maps.app.goo.gl/3mWhqoRjx2kfyJ5a8,8303991404,,,,
37,KAM,Mukesh,1117933,Universal Watch House,Lucknow ,https://maps.app.goo.gl/o21oQkyw2tNC7MW67,7007705775,,,,
38,KAM,Mukesh,1119308,Universal Time store,Lucknow ,https://maps.app.goo.gl/iMYCB3Kc5HDtdUNH6,9335109788,,,,
39,KAM,Mukesh,9037395,Watches & More (Nikunj Udyog - Sigra),varanasi,https://maps.app.goo.gl/5uvTX34qTzLduQcG7,8881120003,,,,
40,KAM,Mukesh,9009464,NEW RUBY WATCH CO.,kanpur ,https://maps.app.goo.gl/YsAAyMmDty5GRtd7A,9336720597,,,,
41,EMM,Pralay,9016971,SILVER TIME HOUSE,UDAIPUR,https://maps.app.goo.gl/qS9FgJHEGzvmzYT2A,9001378799,,,,
42,EMM,Shailesh,9038777,M.M. ENTERPRISES,Jaipur,https://maps.app.goo.gl/gVSbeCjM2Haz9SLM8,9256213737,,,,
43,EMM,Shailesh,9039945,THE WATCH HUB,Jaipur,https://maps.app.goo.gl/yn9jMWQwHx2f6xSv5,9660799743,,,,
44,KAM,Shivam,9007501,INDIAN WATCH COMPANY,Jaipur,https://maps.app.goo.gl/YPG9bkoxZGVJe8ja9,9828230805,,,,
45,Hybrid,Umesh,9007261,ARMY WATCH CO,JAMMU,https://maps.app.goo.gl/rkya8VutLrhtuoZo7,7006310691,,,,
46,Hybrid,Umesh,9007268,DOGRA TIMES,JAMMU,https://maps.app.goo.gl/xqyBEMFEh7qns5Ms8,9419198898,,,,
47,Hybrid,Umesh,9009322,PHUL CHAND & SONS,SHIMLA,https://maps.app.goo.gl/Qsb6rz7jS8rgmBHW7,9816025621,,,,
48,Hybrid,Umesh,9007323,TIME N SOUND,SRINAGAR,https://maps.app.goo.gl/xK3XQpfb8KeMgAD79,9419004060,,,,
49,Hybrid,Umesh,9019764,E ZONE,SRINAGAR,https://maps.app.goo.gl/aMwDjZjuK9Xr61rM7,9419078783,,,,
50,KAM,Mukesh,9009478,RUPANI WATCH HOUSE,kanpur ,https://maps.app.goo.gl/t9kYTnKMjnxnDKu66,8604123456,,,,